message,label
"Félicitations ! Vous avez gagné 1 millions de francs cfa, remplissez vos informations",arnaque
"Urgent : votre compte mobile money est bloqué, cliquez ici pour le débloquer",arnaque
Promo : gagnez des lots incroyables en envoyant ce code au 888,arnaque
"Investissez 5000 et recevez 50000 en 24h, opportunité unique",arnaque
"Votre colis est arrivé au port, payez les frais de dédouanement sur ce lien",arnaque
"Alerte sécurité : une connexion suspecte sur votre compte, changez votre mot de passe",arnaque
Offre d'emploi : gagnez 20.000 F par jour en travaillant depuis chez vous,arnaque
"Vous avez reçu un transfert de 150.000 F, cliquez pour valider la réception",arnaque
"Félicitations, votre numéro a été tiré au sort pour le grand lot de la Saint-Valentin",arnaque
Besoin d'un prêt rapide sans justificatif ? Contactez-nous sur WhatsApp,arnaque
"Abonnement Netflix expiré, mettez à jour vos coordonnées bancaires immédiatement",arnaque
Votre compte sera supprimé dans 2 heures si vous ne confirmez pas votre identité,arnaque
"Bravo ! Vous êtes le 1000ème visiteur, cliquez ici pour votre cadeau",arnaque
"Alerte Banque : votre carte est suspendue, suivez le lien pour l'activer",arnaque
"Devenez riche rapidement avec le trading de crypto-monnaies, rejoignez mon groupe",arnaque
"Transfert réussi de 200.000 F. Pour annuler, tapez votre code secret ici",arnaque
"Votre oncle est à l'hôpital, il a besoin d'argent en urgence pour l'opération",arnaque
"Gagnez un iPhone 15 Pro Max gratuitement, il ne reste que 2 exemplaires !",arnaque
"Frais de dossier pour votre visa acceptés, payez le reste via ce lien",arnaque
Rechargez 2000 F et recevez 10.000 F de bonus immédiat,arnaque
"Salut, tu viens manger ce soir à la maison ?",legitime
"Bonjour, j'espère que tu vas bien. On se voit demain à 10h ?",legitime
N'oublie pas d'acheter du pain en rentrant du travail,legitime
Le cours d'informatique est déplacé en salle 204 ce matin,legitime
Je t'envoie le rapport de stage par email tout de suite,legitime
Tu as bien reçu mon dernier message sur WhatsApp ?,legitime
On se retrouve à la bibliothèque pour réviser la soutenance,legitime
Papa demande si tu seras là pour le dîner ce week-end,legitime
Voici le numéro de téléphone du plombier pour la fuite,legitime
"Merci pour ton aide sur le projet, c'était super",legitime
Est-ce que tu peux m'envoyer le contact de la secrétaire ?,legitime
La réunion de famille commencera finalement à 15h dimanche,legitime
"J'ai bien reçu ton virement, merci beaucoup",legitime
Tu as fini de rédiger ton introduction pour le mémoire ?,legitime
Pense à charger ton ordinateur pour la présentation de demain,legitime
"Bonne chance pour ton examen, je sais que tu vas réussir",legitime
Le rendez-vous chez le dentiste est confirmé pour mardi,legitime
Il y a une promotion sur les cahiers à la librairie du coin,legitime
"Désolé je suis en retard, j'arrive dans 5 minutes",legitime
Je t'ai laissé les clés chez le voisin d'en face,legitime
